stars,forks,issues,watchers,age_days,commit_gap,issue_ratio,fork_ratio,activity,label
14,8,1,1,1338,933,0.06666666666666667,0.5333333333333333,0.0010706638115631692,1
416746,45201,1102,4580,3658,9,0.0026442901808531316,0.10846148862499311,0.1,0
58422,4932,1034,329,849,0,0.017698509148794138,0.08441880766136624,1.0,0
55,36,3,3,3805,3231,0.05357142857142857,0.6428571428571429,0.0003094059405940594,1
67,5,0,1,1447,1352,0.0,0.07352941176470588,0.0007390983000739098,1
53590,7579,238,375,746,103,0.004441044205183706,0.14142300013061895,0.009615384615384616,0
95764,3858,418,817,4006,616,0.004364851459301415,0.04028611705738004,0.0016207455429497568,0
87,37,0,3,2621,445,0.0,0.42045454545454547,0.002242152466367713,1
48066,7099,253,261,1241,0,0.005263486383589573,0.1476896831506023,1.0,0
46371,5904,775,349,1192,1,0.016712671439661864,0.12731820926421117,0.5,0
12,5,0,2,2464,1134,0.0,0.38461538461538464,0.000881057268722467,1
441,112,6,24,2814,1431,0.013574660633484163,0.25339366515837103,0.0006983240223463687,1
53256,6917,21,846,317,44,0.0003943143624312297,0.12987964023508647,0.022222222222222223,0
384657,66065,82,9789,4550,3,0.00021317638005708967,0.17174997010331255,0.25,0
219101,50255,902,5960,3541,1,0.00411680404560433,0.2293680568867468,0.5,0
47,12,0,5,3468,3226,0.0,0.25,0.0003098853424233034,1
5,5,1,1,1636,1193,0.16666666666666666,0.8333333333333334,0.0008375209380234506,1
47917,7832,288,407,961,116,0.006010267540381485,0.16344588672315205,0.008547008547008548,0
72120,34319,9318,1535,3332,0,0.1291995396625116,0.475853080240152,1.0,0
47372,6402,472,343,882,0,0.009963481307918012,0.13514026977392185,1.0,0
0,11,0,1,3461,3465,0.0,11.0,0.00028851702250432774,1
3,3,0,0,2703,1594,0.0,0.75,0.0006269592476489029,1
1189,193,158,40,1224,360,0.13277310924369748,0.16218487394957984,0.002770083102493075,1
102411,16607,119,764,456,211,0.0011619732062648908,0.1621587313986642,0.0047169811320754715,0
56618,3847,861,205,626,0,0.015206909341387166,0.06794538935692965,1.0,0
74122,8805,202,1232,2650,0,0.0027252000053964356,0.11878903983918622,1.0,0
158494,32644,2296,1193,2706,0,0.014486261396258557,0.20596233319663082,1.0,0
53880,9799,286,1298,5521,2,0.0053079935413225445,0.18186373675321543,0.3333333333333333,0
44805,16781,1820,755,4001,0,0.04061955988037316,0.3745257331607374,1.0,0
18,2,0,1,1165,726,0.0,0.10526315789473684,0.001375515818431912,1
55088,10589,316,254,1293,0,0.005736172375610376,0.19221623191562745,1.0,0
